	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
TRIGOTO4	0.100297348588	0.807232126279	0.218667666002	0.0929774345172	0.271988264824	0.0942208577095	0.105830117449	0.0671745776286	0.150611027421	0.183554374153	0.0641761069372	0.107545654054	0.0853671875453	0.0705642188187	0.208508574806	0.104182103657	0.122817522596	0.0924727035582	0.0823762016747	0.0276407115614	0.0	0.41238434601	0.241865377736	0.105896963121	0.277938504403	0.166142408888	0.0780708424545	0.0655772204722	0.103255764035	0.116688531818
TRIGOTO5	0.373670071186	0.819783324943	0.61629220061	0.493701259964	0.320669264761	0.489559419614	0.507292820379	0.404193016919	0.517378394001	0.371060136254	0.416900833504	0.355915553776	0.473460322863	0.381225677464	0.595854483726	0.505276637504	0.521857682859	0.489141469985	0.359745504577	0.406883203661	0.41238434601	0.0	0.421810917239	0.506773392904	0.378795661555	0.373344346336	0.410540598017	0.466539895881	0.504736928299	0.51563411649
TROPMOO1	0.189700536989	0.831986010297	0.426419838673	0.318553458653	0.19431459126	0.304631660812	0.324964035452	0.234306157603	0.330333701792	0.117605530418	0.22135215905	0.16062830778	0.28343505144	0.20017403319	0.395011811659	0.324710684243	0.341212914896	0.309204491544	0.234504194508	0.238682699847	0.241865377736	0.421810917239	0.0	0.328621407736	0.187800579742	0.0973276937095	0.289943659506	0.289367018307	0.323887143021	0.330437596796
TANGIRA1	0.180665167145	0.829110109497	0.123600926059	0.0625665179791	0.364894924038	0.028047087449	0.0149647968125	0.149037457381	0.0786572602113	0.266358479201	0.138233642882	0.194206591163	0.0551844688441	0.136089793283	0.11661645742	0.00784307043972	0.0469618988597	0.0224363300408	0.17219797489	0.107170976423	0.105896963121	0.506773392904	0.328621407736	0.0	0.354465658374	0.24452126412	0.101791366843	0.0406333133923	0.0079604123793	0.0181954230755
CYPRCOL3	0.244269631648	0.73297432063	0.457485448068	0.340210472508	0.0718633426085	0.345379164708	0.35606089061	0.277327428015	0.367912151598	0.163217565394	0.273636532219	0.220639961243	0.330153895797	0.229875766304	0.450078384924	0.351885599878	0.371640052991	0.345339222437	0.274457127046	0.273417507053	0.277938504403	0.378795661555	0.187800579742	0.354465658374	0.0	0.124235569593	0.315714354328	0.315472642477	0.350842679169	0.36207572694
PLECSTA1	0.160574095422	0.762197603648	0.356483351019	0.239258693744	0.129743861831	0.235350653515	0.245889919278	0.186725579579	0.267847136621	0.0702756482035	0.186704563204	0.131126468321	0.227382337028	0.120060538445	0.339795352749	0.245763291182	0.260144551361	0.232838930205	0.185248366841	0.171526188984	0.166142408888	0.373344346336	0.0973276937095	0.24452126412	0.124235569593	0.0	0.223629910715	0.205510994992	0.242641915151	0.257293009856
TRIGOTO6	0.126304604035	0.824152546394	0.210998265195	0.0920280698383	0.276833021133	0.089148979444	0.101273430214	0.10722829259	0.146907768201	0.232217652088	0.0984872697456	0.15420999897	0.0799298478055	0.120054641892	0.20478659624	0.0979090469471	0.124531630373	0.0902333320621	0.0791384553707	0.0677313484047	0.0780708424545	0.410540598017	0.289943659506	0.101791366843	0.315714354328	0.223629910715	0.0	0.0704093462388	0.0976472612725	0.108180909268
CYPRCOL2	0.142543258202	0.81760807132	0.156648962243	0.0481123617907	0.324789464981	0.0415435150216	0.0432100813044	0.109843250305	0.106643458198	0.226265756962	0.0999872675016	0.155200744088	0.0423027461005	0.0983948678788	0.153544728804	0.0440131026711	0.0734539181665	0.0363647500959	0.132703444699	0.0675346411137	0.0655772204722	0.466539895881	0.289367018307	0.0406333133923	0.315472642477	0.205510994992	0.0704093462388	0.0	0.038725240656	0.05594269297
CYPRCOL6	0.177497063795	0.827917073989	0.124529229596	0.0603150194448	0.362633245842	0.0221389858481	0.0120179138447	0.147892025322	0.080331849767	0.264371663761	0.135299404091	0.193590165523	0.0496924487012	0.130857191849	0.120663950306	0.00756548991869	0.0475252432259	0.0180780515824	0.170836274218	0.103608069413	0.103255764035	0.504736928299	0.323887143021	0.0079604123793	0.350842679169	0.242641915151	0.0976472612725	0.038725240656	0.0	0.0197767907017
XENOFLA1	0.184586544491	0.838629858464	0.117669175348	0.0681291329745	0.371239472412	0.0346391120806	0.0253254123858	0.1593201512	0.0739482836677	0.275354430375	0.140231213802	0.200109198385	0.0607070874464	0.1432269513	0.114172849305	0.0157265590688	0.0566678075878	0.0351645411145	0.180764658684	0.117210713388	0.116688531818	0.51563411649	0.330437596796	0.0181954230755	0.36207572694	0.257293009856	0.108180909268	0.05594269297	0.0197767907017	0.0
