	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
HAPLMIC4	0.507881484054	0.883647508646	0.703039814487	0.782426919286	0.635418608371	0.640079358039	0.693123196558	0.540136601878	0.711191678339	0.563668607386	0.0	0.531647430328	0.639328449815	0.65801866297	0.632456847971	0.659261563412	0.657678527704	0.617892890311	0.669686889144	0.59380575855	0.591113294833	0.585817717328	0.663840423421	0.744990054885	0.71640566939	0.608461344359	0.5607024038	0.644918540357	0.69656097342	0.70724156872
HAPLMIC6	0.498414248013	0.839801928235	0.67165679367	0.77287252775	0.64819476479	0.687613418315	0.746414643684	0.599968916321	0.708301703627	0.540385989588	0.531647430328	0.0	0.618969302591	0.671813370093	0.679642906249	0.65415620255	0.672268380378	0.620587510688	0.596435608688	0.615312815962	0.597676884591	0.616741408917	0.671253450601	0.739107914827	0.67336268843	0.635882323449	0.626019609547	0.694583722068	0.714215902801	0.674733228756
LOBOLAB1	0.657295983635	0.866576848527	0.69764635794	0.807571908298	0.611530123501	0.685255122774	0.598900709698	0.596904025966	0.770528304703	0.575005074219	0.639328449815	0.618969302591	0.0	0.705027803589	0.6143374629	0.620889285481	0.671532417274	0.556716636037	0.673539185821	0.635620196384	0.615632162716	0.685316641736	0.638565319757	0.678318213371	0.661601934914	0.605518234673	0.634107319606	0.532016768094	0.626979611344	0.606643945088
LEPIPRO1	0.586708919839	0.86508762093	0.69616077288	0.694345304899	0.709319706814	0.584924215576	0.75301999738	0.606291508657	0.655380812795	0.710370635186	0.65801866297	0.671813370093	0.705027803589	0.0	0.674810979089	0.615186230342	0.660238078693	0.657880817075	0.673449378489	0.687384965077	0.665099699403	0.713642978734	0.741558326228	0.692671446109	0.682558043049	0.702227332343	0.678927848261	0.696775989852	0.673537539992	0.701057178622
PERIMIC1	0.65480054638	0.868756885146	0.694994257234	0.800896612574	0.687112147927	0.683061234356	0.676038688121	0.600495058777	0.749668363994	0.656341198002	0.632456847971	0.679642906249	0.6143374629	0.674810979089	0.0	0.633289441518	0.594876730403	0.646377984899	0.699044239353	0.637011120063	0.612477156405	0.680058567634	0.698081806765	0.663961921152	0.70896180773	0.577305316341	0.612508666162	0.601487581589	0.62256471797	0.640615601547
NEOLBUS1	0.641541887928	0.876341874385	0.720995815478	0.774281138714	0.640687062058	0.630088458935	0.614888011569	0.633882325215	0.78528505732	0.646116522883	0.659261563412	0.65415620255	0.620889285481	0.615186230342	0.633289441518	0.0	0.634576226407	0.617944770425	0.630219157634	0.544791404538	0.540091822051	0.633405113504	0.70894664452	0.615033682954	0.636462767127	0.594855993715	0.594844411254	0.582366355952	0.557218543635	0.657387936914
REGACAL1	0.678585629755	0.865712085731	0.708851547352	0.797653793572	0.706861362503	0.673432458416	0.661625668271	0.630242654904	0.77116236753	0.686070864282	0.657678527704	0.672268380378	0.671532417274	0.660238078693	0.594876730403	0.634576226407	0.0	0.649132817695	0.710532588831	0.643402735001	0.628737632565	0.658083103703	0.708913439134	0.695513953624	0.718174283512	0.640896648889	0.625651469428	0.65544967284	0.621750075989	0.725906369637
TRIGOTO1	0.607730887039	0.883471327168	0.729512957914	0.79308439558	0.594233865244	0.615207854342	0.584065437663	0.524459327473	0.759078887812	0.620601355368	0.617892890311	0.620587510688	0.556716636037	0.657880817075	0.646377984899	0.617944770425	0.649132817695	0.0	0.681353308669	0.579337579154	0.534744811943	0.646777855925	0.686463961788	0.633872300813	0.687598153341	0.595417742516	0.629784256935	0.514245646143	0.569614830564	0.699258995126
TRIGOTO2	0.622166585941	0.850810675775	0.665324045698	0.723219594256	0.635641048848	0.672525985944	0.72883476246	0.667976353217	0.710921342576	0.624753515835	0.669686889144	0.596435608688	0.673539185821	0.673449378489	0.699044239353	0.630219157634	0.710532588831	0.681353308669	0.0	0.64476972813	0.605707126382	0.632266526128	0.676771150309	0.734453160385	0.672512826395	0.619030696766	0.63689660709	0.692930598044	0.706982349609	0.68647301254
TRIGOTO3	0.613822293302	0.908993964354	0.753157944333	0.830234201931	0.556848821542	0.665950892169	0.582823698353	0.571351191616	0.814500161482	0.608963145623	0.59380575855	0.615312815962	0.635620196384	0.687384965077	0.637011120063	0.544791404538	0.643402735001	0.579337579154	0.64476972813	0.0	0.474696134499	0.535054480552	0.656895948924	0.663949045005	0.717886890361	0.579275037457	0.548527493996	0.551812803973	0.605391535599	0.734127592138
